exp jar built
m1 jar built
-rw-r--r--@ 1 unknowntpo  wheel  10817392 Sep  8 08:25 /tmp/exp.jar
-rw-r--r--@ 1 unknowntpo  wheel  10901336 Sep  8 08:26 /tmp/m1.jar
variant,extra,fetch_MB_sec,msg_sec,cpu_s_per_GB
OLD,,395.5514,4147656.5740,2.56
OLD+prefetch,,810.6029,8499787.5053,2.53
NEW-prefetch,internal.fetch.prefetch.factor=1,402.6491,4222081.4862,2.27
NEW,,911.5167,9557945.0418,2.29
OLD,max.poll.records=50,321.4542,3370691.8345,3.44
OLD+prefetch,max.poll.records=50,476.4203,4995628.8248,3.33
NEW-prefetch,max.poll.records=50 internal.fetch.prefetch.factor=1,399.3611,4187604.6901,2.49
NEW,max.poll.records=50,877.3453,9199632.0147,2.68
OLD,,444.2410,4658204.2623,2.5
OLD+prefetch,,849.2202,8904719.5013,2.54
NEW-prefetch,internal.fetch.prefetch.factor=1,484.0372,5075498.0332,2.2
NEW,,1043.1220,10937927.2628,2.23
OLD,max.poll.records=50,336.8981,3532632.6945,3.52
OLD+prefetch,max.poll.records=50,538.1150,5642544.7877,3.48
NEW-prefetch,max.poll.records=50 internal.fetch.prefetch.factor=1,448.0499,4698144.2330,2.37
NEW,max.poll.records=50,870.7367,9130335.5398,2.53
OLD,,478.8724,5021340.6980,2.4
OLD+prefetch,,971.4024,10185892.5388,2.42
NEW-prefetch,internal.fetch.prefetch.factor=1,491.4580,5153311.0023,2.21
NEW,,1039.1439,10896213.5658,2.27
OLD,max.poll.records=50,351.7795,3688675.7654,3.34
OLD+prefetch,max.poll.records=50,519.4305,5446623.0937,3.41
NEW-prefetch,max.poll.records=50 internal.fetch.prefetch.factor=1,447.1571,4688782.0889,2.37
NEW,max.poll.records=50,967.2153,10141987.8296,2.43
restored current jar
