variant,topic,extra,fetch_MB_sec,msg_sec,cpu_s_per_GB,load
BASE,big100b,,329.6774,3456918.1575,2.9,load=17.43
LOOPONLY,big100b,,362.5449,3801558.6390,2.67,load=15.53
FULL,big100b,,625.7705,6561679.7900,2.66,load=15.57
BASE,big100b,max.poll.records=50,319.7835,3353172.9399,3.74,load=14.38
LOOPONLY,big100b,max.poll.records=50,352.8533,3699935.2511,3.28,load=29.99
FULL,big100b,max.poll.records=50,909.7775,9539709.0389,2.58,load=35.27
BASE,t6p,,509.8656,522102.3321,1.99,load=39.36
LOOPONLY,t6p,,780.6255,799360.5116,2.05,load=43.25
FULL,t6p,,1360.1149,1392757.6602,1.91,load=40.27
BASE,big100b,,387.3182,4061326.0229,2.63,load=35.44
LOOPONLY,big100b,,415.3182,4354926.5106,2.54,load=29.26
FULL,big100b,,999.6586,10482180.2935,2.27,load=27.87
BASE,big100b,max.poll.records=50,317.0723,3324744.4103,3.52,load=23.10
LOOPONLY,big100b,max.poll.records=50,379.2323,3976538.4233,3.06,load=19.86
FULL,big100b,max.poll.records=50,953.9128,10002500.6252,2.5,load=18.99
BASE,t6p,,426.9437,437190.3235,2.08,load=17.05
LOOPONLY,t6p,,884.3005,905523.6945,1.98,load=16.08
FULL,t6p,,1010.2371,1034482.7586,2.0,load=15.52
BASE,big100b,,436.3644,4575611.9881,2.49,load=14.66
LOOPONLY,big100b,,456.8500,4790419.1617,2.42,load=14.37
FULL,big100b,,1088.9801,11418783.8995,2.19,load=13.70
BASE,big100b,max.poll.records=50,356.0479,3733432.8915,3.37,load=12.67
LOOPONLY,big100b,max.poll.records=50,373.7701,3919263.1785,3.14,load=12.01
FULL,big100b,max.poll.records=50,832.1765,8726003.4904,2.57,load=11.53
BASE,t6p,,518.9880,531443.7555,2.02,load=12.76
LOOPONLY,t6p,,805.0804,824402.3083,1.98,load=12.86
FULL,t6p,,1299.7726,1330967.1695,1.84,load=12.07
== idle CPU: consumer on an empty topic for 30 s (user+sys seconds of the whole JVM)
IDLE,BASE,user=2.60,sys=0.23,real=31.57
IDLE,LOOPONLY,user=2.40,sys=0.22,real=31.66
IDLE,FULL,user=2.31,sys=0.21,real=31.83
IDLE,BASE,user=2.45,sys=0.22,real=31.65
IDLE,LOOPONLY,user=2.38,sys=0.21,real=31.41
IDLE,FULL,user=2.40,sys=0.22,real=31.43
restored full jar
