scenario,protocol,rep,fetch_MB_sec,fetch_msg_sec,user_s,sys_s,wall_s
1p-100B,consumer,1,825.1562,8652390.2228,7.47,1.57,6.83
1p-100B,consumer,2,828.5615,8688097.3067,7.91,1.76,6.75
1p-100B,consumer,3,994.9654,10432968.1794,7.45,1.48,5.92
1p-100B,classic,1,410.7125,4306632.2136,7.43,2.16,14.39
1p-100B,classic,2,482.0798,5054972.8295,7.13,1.86,13.13
1p-100B,classic,3,466.2304,4888780.2493,7.09,2.01,13.31
1p-100B-factor1,consumer,1,472.8768,4958472.7904,7.00,1.90,10.23
1p-100B-factor1,consumer,2,472.3498,4952947.0035,7.05,1.93,10.28
1p-100B-factor1,consumer,3,469.8482,4926715.1127,7.01,1.88,10.30
1p-100B-mpr50,consumer,1,906.1039,9501187.6485,8.72,1.51,6.41
1p-100B-mpr50,consumer,2,886.9326,9300162.7528,8.31,1.59,6.38
1p-100B-mpr50,consumer,3,918.7614,9633911.3680,8.92,1.41,6.26
1p-100B-mpr50,classic,1,440.0389,4614142.3463,8.15,1.74,13.74
1p-100B-mpr50,classic,2,444.1375,4657119.5715,8.09,1.85,13.69
1p-100B-mpr50,classic,3,452.9981,4750029.6877,8.21,1.83,13.49
1p-1KB,consumer,1,1308.6265,1340033.5008,7.04,2.26,8.07
1p-1KB,consumer,2,1219.1792,1248439.4507,7.18,2.61,8.53
1p-1KB,consumer,3,1162.7474,1190653.3710,7.22,2.70,8.85
1p-1KB-lz4,consumer,1,556.1290,569476.0820,8.99,3.64,16.19
1p-1KB-lz4,consumer,2,567.7276,581353.0993,9.16,3.18,15.83
1p-1KB-lz4,consumer,3,546.3287,559440.5594,9.21,3.79,16.47
6p-1KB,consumer,1,523.6260,536193.0295,4.75,1.76,7.69
6p-1KB,consumer,2,1282.7003,1313485.1138,4.74,1.06,4.24
6p-1KB,consumer,3,1278.2232,1308900.5236,4.82,1.08,4.12
6p-1KB,classic,1,933.9138,956327.7016,4.47,1.02,8.03
6p-1KB,classic,2,986.4268,1010101.0101,4.79,1.08,7.85
6p-1KB,classic,3,892.6531,914076.7824,4.61,1.16,8.16
