m1 jar built
 M clients/src/main/java/org/apache/kafka/clients/consumer/internals/CompletedFetch.java
 M clients/src/main/java/org/apache/kafka/common/record/internal/DefaultRecord.java
 M clients/src/main/java/org/apache/kafka/common/record/internal/Record.java
 M clients/src/test/java/org/apache/kafka/common/record/internal/DefaultRecordTest.java
variant,topic,fetch_MB_sec,msg_sec,cpu_s_per_GB
M1,big100b,675.4067,7082152.9745,2.7
M1,big100b,632.6198,6633499.1708,2.94
M2,big100b,677.4458,7103534.0082,2.69
M2,big100b,898.8448,9425070.6880,2.51
M1,big100b,782.1811,8201763.3791,2.43
M1,big100b,633.2499,6640106.2417,2.98
M2,big100b,732.4688,7680491.5515,2.55
M2,big100b,859.7470,9015100.2930,2.57
M1,big100b,833.2672,8737439.9301,2.49
M1,big100b,949.4020,9955201.5928,2.47
M2,big100b,1034.9152,10851871.9479,2.17
M2,big100b,987.2405,10351966.8737,2.5
M1,big100b,1054.0750,11052777.0102,2.23
M1,big100b,991.3454,10395010.3950,2.52
M2,big100b,1041.6978,10922992.9001,2.15
M2,big100b,846.5817,8877052.8185,2.52
M1,big1k-lz4,518.9651,531420.2205,1.54
M2,big1k-lz4,579.4334,593339.7612,1.54
M1,big1k-lz4,593.2043,607441.1541,1.49
M2,big1k-lz4,597.6515,611995.1040,1.46
restored M2 jar
