variant,topic,extra,fetch_MB_sec,msg_sec,cpu_s_per_GB,load
TRUNK,big100b,,398.5267,4178854.9937,4.76,load=0.30
LOOPONLY,big100b,,388.4225,4072904.9995,5.00,load=0.46
FULL,big100b,,575.0222,6029544.7694,5.10,load=1.08
TRUNK,big100b,max.poll.records=50,315.2903,3306058.3519,6.79,load=1.34
LOOPONLY,big100b,max.poll.records=50,304.4451,3192338.3879,6.88,load=1.35
FULL,big100b,max.poll.records=50,523.6372,5490734.3857,5.26,load=1.53
TRUNK,t6p,,647.1587,662690.5235,4.40,load=1.73
LOOPONLY,t6p,,649.8863,665483.5847,4.41,load=1.68
FULL,t6p,,708.1672,725163.1617,4.87,load=2.03
TRUNK,big100b,,397.6957,4170141.7848,5.04,load=2.10
LOOPONLY,big100b,,379.4586,3978911.7676,5.13,load=1.93
FULL,big100b,,568.0860,5956813.1050,5.18,load=2.25
TRUNK,big100b,max.poll.records=50,302.8018,3175107.1599,6.87,load=2.31
LOOPONLY,big100b,max.poll.records=50,305.3712,3202049.3116,6.90,load=2.38
FULL,big100b,max.poll.records=50,518.7241,5439216.7528,5.23,load=2.48
TRUNK,t6p,,629.7695,644883.9209,4.53,load=2.36
LOOPONLY,t6p,,640.6489,656024.4916,4.61,load=2.22
FULL,t6p,,734.0735,751691.3054,4.65,load=2.20
TRUNK,big100b,,405.5169,4252152.6523,4.74,load=2.37
LOOPONLY,big100b,,386.8077,4055972.4194,4.99,load=2.24
FULL,big100b,,581.4201,6096631.6110,5.09,load=2.27
TRUNK,big100b,max.poll.records=50,304.9562,3197697.6577,6.82,load=2.13
LOOPONLY,big100b,max.poll.records=50,305.2002,3200256.0205,6.88,load=2.17
FULL,big100b,max.poll.records=50,520.0678,5453306.0668,5.23,load=2.29
TRUNK,t6p,,666.7473,682749.2035,4.23,load=2.27
LOOPONLY,t6p,,638.1371,653452.4069,4.61,load=2.22
FULL,t6p,,704.2518,721153.8462,5.03,load=2.36
