topic,protocol,depth,rep,fetch_MB_sec,fetch_msg_sec,records,user_s,sys_s,wall_s
big100b,consumer,0,1,372.2382,3903200.6245,40000000,8.43,2.54,12.55
big100b,consumer,0,2,341.1768,3577497.5405,40000000,8.65,2.67,13.42
big100b,consumer,2,1,749.3022,7857002.5535,40000000,8.85,2.14,7.95
big100b,consumer,2,2,782.8232,8208495.7931,40000000,8.35,2.21,7.20
big100b,consumer,4,1,758.2384,7950705.6251,40000000,8.51,2.17,7.54
big100b,consumer,4,2,832.5398,8729812.3090,40000000,8.54,1.97,6.89
big100b,consumer,8,1,801.9124,8408660.9207,40000000,8.45,2.05,7.04
big100b,consumer,8,2,735.4342,7711586.6590,40000000,8.83,2.12,7.44
big1k,consumer,0,1,808.5800,827985.9242,8000000,7.63,2.86,11.98
big1k,consumer,0,2,721.1760,738484.2611,8000000,8.04,3.32,13.25
big1k,consumer,2,1,847.8025,868149.7558,8000000,8.06,3.51,11.50
big1k,consumer,2,2,677.2278,693481.2760,8000000,8.46,3.67,13.84
big1k,consumer,4,1,804.1688,823468.8626,8000000,8.16,3.44,12.08
big1k,consumer,4,2,937.9878,960499.4597,8000000,8.00,2.98,10.66
big1k,consumer,8,1,755.7802,773918.9320,8000000,8.31,3.56,12.75
big1k,consumer,8,2,981.7165,1005277.7080,8000000,7.88,2.92,10.36
big100b,classic,4,1,648.6477,6801564.3598,40000000,7.78,1.54,11.03
big100b,classic,4,2,658.6149,6906077.3481,40000000,7.78,1.58,10.80
big1k,classic,4,1,887.6832,908987.6150,8000000,7.38,2.67,13.88
big1k,classic,4,2,839.3318,859475.7198,8000000,7.79,3.20,14.66
