scenario,protocol,rep,MB_sec,msg_sec,rebalance_ms,fetch_ms,fetch_MB_sec,fetch_msg_sec
1p-1KB,classic,1,444.4307,455097.0874,3247,3345,875.8408,896860.9865
1p-1KB,consumer,1,563.7267,577256.1093,360,4837,605.6828,620219.1441
1p-1KB,classic,2,460.1362,471179.5194,3200,3167,925.0671,947268.7086
1p-1KB,consumer,2,783.9678,802782.9810,365,3372,868.8278,889679.7153
1p-1KB,classic,3,454.1447,465044.1792,3216,3235,905.6221,927357.0325
1p-1KB,consumer,3,821.1008,840807.1749,357,3211,912.3910,934288.3837
1p-1KB-lz4,classic,1,265.2501,271616.1159,3203,7842,373.5893,382555.4705
1p-1KB-lz4,consumer,1,543.7430,556792.8731,349,5039,581.4026,595356.2215
1p-1KB-lz4,classic,2,286.2421,293111.8710,3199,7036,416.3854,426378.6242
1p-1KB-lz4,consumer,2,487.5499,499251.1233,372,5637,519.7246,532197.9776
1p-1KB-lz4,classic,3,322.9373,330687.8307,3217,5855,500.3736,512382.5790
1p-1KB-lz4,consumer,3,446.1906,456899.1776,360,6206,472.0734,483403.1582
6p-1KB,classic,1,322.4397,330178.2963,3211,5875,498.6702,510638.2979
6p-1KB,consumer,1,700.5470,717360.1148,345,3837,763.5360,781860.8288
6p-1KB,classic,2,476.8372,488281.2500,3210,2934,998.5302,1022494.8875
6p-1KB,consumer,2,619.5152,634383.5906,363,4366,671.0232,687127.8058
6p-1KB,classic,3,453.0211,463893.6137,3214,3253,900.6110,922225.6379
6p-1KB,consumer,3,822.2530,841987.0895,361,3202,914.9555,936914.4285
1p-100B,classic,1,103.9087,1089561.9961,3203,1386,344.0384,3607503.6075
1p-100B,consumer,1,259.7152,2723311.5468,351,1485,321.1025,3367003.3670
1p-100B,classic,2,107.8573,1130965.8448,3208,1213,393.1057,4122011.5416
1p-100B,consumer,2,274.2019,2875215.6412,345,1394,342.0640,3586800.5739
1p-100B,classic,3,106.6511,1118318.0497,3215,1256,379.6474,3980891.7197
1p-100B,consumer,3,240.7053,2523977.7890,348,1633,292.0007,3061849.3570
1p-1KB-mpr50,classic,1,432.2986,442673.7494,3188,3589,816.2963,835887.4338
1p-1KB-mpr50,consumer,1,638.8329,654164.8495,386,4200,697.5446,714285.7143
1p-1KB-mpr50,classic,2,477.3033,488758.5533,3202,2936,997.8500,1021798.3651
1p-1KB-mpr50,consumer,2,778.7580,797448.1659,354,3408,859.6501,880281.6901
1p-1KB-mpr50,classic,3,476.6044,488042.9478,3203,2944,995.1384,1019021.7391
1p-1KB-mpr50,consumer,3,682.7517,699137.7301,342,3949,741.8809,759685.9965
1p-1KB-pfb256K,classic,1,488.2813,500000.0000,3215,2785,1051.9524,1077199.2819
1p-1KB-pfb256K,consumer,1,803.3144,822593.9128,347,3300,887.7841,909090.9091
1p-1KB-pfb256K,classic,2,487.9559,499666.8887,3211,2793,1048.9393,1074113.8561
1p-1KB-pfb256K,consumer,2,814.0282,833564.8791,353,3246,902.5531,924214.4177
1p-1KB-pfb256K,classic,3,454.4970,465404.9023,3202,3244,903.1096,924784.2170
1p-1KB-pfb256K,consumer,3,815.3876,834956.8606,373,3220,909.8408,931677.0186
done
