scenario,protocol,rep,fetch_MB_sec,fetch_msg_sec,user_s,sys_s,wall_s
1p-100B,classic,1,426.8432,4475774.8685,7.60,1.89,13.89
1p-1KB,classic,1,754.0295,772126.2426,7.50,2.89,15.46
1p-1KB-lz4,classic,1,405.2337,414959.2821,9.26,3.78,24.40
1p-100B-mpr50,classic,1,400.9562,4204330.4604,8.40,2.08,14.63
1p-100B,consumer,1,452.2463,4742145.8210,7.90,2.20,10.64
1p-1KB,consumer,1,1033.5362,1058341.0504,6.75,2.35,9.76
1p-1KB-lz4,consumer,1,419.2155,429276.6688,8.92,3.63,21.02
1p-100B-mpr50,consumer,1,304.5666,3193612.7745,10.87,3.76,14.74
1p-100B,classic,2,430.7959,4517221.9085,7.42,1.78,13.99
1p-1KB,classic,2,1094.6476,1120919.1537,6.59,2.04,12.39
1p-1KB-lz4,classic,2,431.7730,442135.5145,8.85,3.55,23.26
1p-100B-mpr50,classic,2,397.8201,4171446.4491,8.35,2.15,14.74
1p-100B,consumer,2,476.5989,4997501.2494,7.50,2.18,10.19
1p-1KB,consumer,2,1032.4435,1057222.1488,6.58,2.33,9.64
1p-1KB-lz4,consumer,2,407.1980,416970.7078,9.01,3.90,21.50
1p-100B-mpr50,consumer,2,319.6495,3351768.0577,10.43,3.66,14.19
1p-100B,classic,3,493.6841,5176653.2936,7.22,1.83,12.75
1p-1KB,classic,3,1192.0201,1220628.6237,6.51,1.88,11.61
1p-1KB-lz4,classic,3,435.9897,446453.4851,8.77,3.63,23.05
1p-100B-mpr50,classic,3,382.6943,4012841.0915,8.14,2.03,15.12
1p-100B,consumer,3,476.7776,4999375.0781,7.43,2.11,10.27
1p-1KB,consumer,3,1072.7036,1098448.4416,6.48,2.15,9.50
1p-1KB-lz4,consumer,3,417.2452,427259.1327,9.11,3.75,20.97
1p-100B-mpr50,consumer,3,334.5052,3507541.2136,10.57,3.71,13.67
done
