tier,rep,variant,topic,mb_s,rec_s,user_s,sys_s,cpu_s_per_gb,vol_ctx,invol_ctx,rss_kb,note
T2,1,java-consumer,big100b,398.1108,4174493.8426,16.54,2.76,5.181,150120,2912,1813488,fixed-count
T2,1,librdkafka,big100b,115.15,1151542,31.92,5.11,9.94,142904,422,283696,fixed-count
T2,1,franz-go,big100b,215.59,2155911,18.85,5.90,7.347,186787,1682,24288,fixed-20s
T2,1,java-classic,big100b,427.2256,4479784.9703,14.99,2.16,4.604,12258,1282,1810216,fixed-count
T2,1,java-consumer,t6p,643.3218,658761.5283,11.41,1.87,4.642,16522,3388,1434668,fixed-count
T2,1,librdkafka,t6p,1276.89,1246958,2.37,1.47,1.342,9720,36,24872,fixed-count
T2,1,franz-go,t6p,1024.00,1000000,2.18,1.38,1.187,53707,616,32844,fixed-12s
T2,1,java-classic,t6p,693.4172,710059.1716,10.55,1.73,4.292,8277,1796,1445272,fixed-count
T2,2,java-consumer,big100b,408.5571,4284031.2734,16.24,2.69,5.081,142256,3687,1797668,fixed-count
T2,2,librdkafka,big100b,113.75,1137485,32.02,5.86,10.168,133283,361,283316,fixed-count
T2,2,franz-go,big100b,213.27,2132676,18.72,6.03,7.427,184758,1668,24288,fixed-20s
T2,2,java-classic,big100b,427.3213,4480788.6188,14.38,2.14,4.435,13549,1184,1808640,fixed-count
T2,2,java-consumer,t6p,626.8052,641848.5237,11.99,1.81,4.823,15834,4733,1447152,fixed-count
T2,2,librdkafka,t6p,1464.53,1430207,2.33,1.15,1.216,7715,23,24836,fixed-count
T2,2,franz-go,t6p,768.00,749998,2.21,1.75,1.32,53570,706,32720,fixed-12s
T2,2,java-classic,t6p,680.2153,696540.5154,10.70,1.72,4.341,8064,2862,1447460,fixed-count
T2,3,java-consumer,big100b,398.4434,4177982.0347,17.17,2.59,5.304,126347,4065,1806636,fixed-count
T2,3,librdkafka,big100b,112.22,1122205,31.87,5.23,9.959,157111,353,283408,fixed-count
T2,3,franz-go,big100b,217.32,2173187,18.94,5.71,7.259,187256,1488,24292,fixed-20s
T2,3,java-classic,big100b,423.5258,4440990.3408,14.45,2.14,4.453,13311,1141,1811048,fixed-count
T2,3,java-consumer,t6p,658.2088,674005.8414,11.19,1.79,4.537,15211,2038,1426144,fixed-count
T2,3,librdkafka,t6p,1294.82,1264474,2.38,1.40,1.321,9966,29,25084,fixed-count
T2,3,franz-go,t6p,768.00,750002,2.16,1.87,1.343,53811,495,32720,fixed-12s
T2,3,java-classic,t6p,672.7181,688863.3754,10.83,1.74,4.394,8335,1676,1450228,fixed-count
T2,1,java-consumer,idle1p,0,0,5.32,0.59,5910000000.0,8356,270,234868,idle-60s
T2,1,librdkafka,idle1p,0,0,0.09,0.05,140000000.0,791,1,5368,idle-60s
T2,1,franz-go,idle1p,0,0,0.02,0.05,70000000.0,1355,5,14320,idle-60s
